trip_id,customer_id,flight_number,airline_id,aircraft_id,airport_src,airport_dst,departure_time,departure_date,flight_duration,travel_class,seat_number,price
555,8326216,MU1330,1758,737,58,60,13:30:00,2018-01-31,0:57,economy,6C,33
40,2445019,MU2145,1758,F70F70,85,103,21:45:00,2018-12-13,0:57,economy,7C,33
40,2445019,MU0715,1758,737,90,10,07:15:00,2019-01-01,0:57,economy,3D,33
1298,302151,KL1430,3090,330,74,12,14:30:00,2019-01-03,8:25,economy,7C,572
314,2293909,AT1000,4248,738B738,37,92,10:00:00,2014-12-30,3:06,economy,4A,188
1894,1787835,AR0715,412,737,14,24,07:15:00,2011-09-14,3:26,economy,5J,212
2092,1494218,TK1045,4951,330,47,103,10:45:00,2018-11-25,3:11,economy,2C,195
2160,809928,AM1930,321,E75,29,12,19:30:00,2018-12-31,1:06,economy,5B,44
2354,4393012,AR2130,412,737,68,37,21:30:00,2016-04-02,1:18,economy,9G,59
3661,4774019,RJ0830,4259,E75,3,47,08:30:00,2018-12-23,3:31,economy,8J,218
3678,8801391,SZ1245,10122,737,64,23,12:45:00,2018-09-21,2:44,economy,5I,162
3789,7993960,AM1515,321,737,60,85,15:15:00,2015-08-03,4:56,economy,4I,321
5,5688420,UG1345,5085,ATRAT46,83,32,13:45:00,2016-04-25,0:39,business,25J,411
5,5688420,UG1645,5085,ATRAT46,6,38,16:45:00,2016-05-16,0:39,business,30D,411
6,5688420,AB1145,214,738B738,77,66,11:45:00,2018-02-04,2:36,business,24B,552
6,5688420,AB1245,214,738B738,12,43,12:45:00,2018-02-12,2:36,economy,10A,152
7,5688420,MT2215,4897,752B752,22,73,22:15:00,2018-07-20,3:03,economy,3C,185
7,5688420,MT0630,4897,752B752,99,72,06:30:00,2018-08-19,3:03,business,34J,585
8,5688420,TU2045,4870,319A319,40,88,20:45:00,2018-08-30,2:05,business,25B,514
8,5688420,TU1045,4870,319A319,45,100,10:45:00,2018-09-30,2:05,economy,1F,114
9,5688420,UG1100,5085,ATRAT46,80,54,11:00:00,2018-12-13,0:39,business,27A,411
9,5688420,UG1645,5085,ATRAT46,32,82,16:45:00,2019-01-06,0:39,economy,3B,11
10,7549035,W61630,5461,320A320,23,45,16:30:00,2011-12-26,2:23,economy,7A,136
10,7549035,W61745,5461,320A320,33,8,17:45:00,2012-01-05,2:23,business,27C,536
11,7549035,LH0900,3320,E90E190,60,76,09:00:00,2017-05-29,1:10,economy,10G,48
11,7549035,LH1230,3320,E90E190,16,79,12:30:00,2017-06-29,1:10,business,21F,448
12,7549035,AZ2000,596,E75,50,56,20:00:00,2018-03-25,1:00,business,25F,437
12,7549035,AZ0745,596,E75,60,42,07:45:00,2018-04-13,1:00,business,37C,437
13,7549035,U21130,2297,320A320,22,78,11:30:00,2018-08-23,1:09,business,23H,447
13,7549035,U21130,2297,320A320,73,49,11:30:00,2018-09-04,1:09,business,36D,447
14,7549035,FR1030,4296,738B738,17,57,10:30:00,2018-10-06,3:03,economy,6E,185
0,7529424,ME1045,3490,332A332,82,3,10:45:00,2010-06-08,5:02,business,27D,728
0,7529424,ME0715,3490,332A332,102,70,07:15:00,2010-06-17,5:02,business,42A,728
1,7529424,KL1800,3090,330,3,98,18:00:00,2016-06-08,6:49,economy,8G,457
1,7529424,KL1915,3090,330,58,47,19:15:00,2016-07-05,6:49,business,36C,857
2,7529424,AZ0745,596,330,58,44,07:45:00,2018-01-11,5:29,business,22A,761
2,7529424,AZ0745,596,330,19,2,07:45:00,2018-02-03,5:29,economy,2A,361
3,7529424,W31500,20976,332A332,24,6,15:00:00,2018-02-17,6:07,economy,2I,407
3,7529424,W31015,20976,332A332,74,13,10:15:00,2018-03-05,6:07,business,32E,807
4,7529424,W30830,20976,73GB737,42,47,08:30:00,2018-04-01,0:37,business,36H,409
4,7529424,W31730,20976,73GB737,93,48,17:30:00,2018-04-16,0:37,business,33B,409
169,8195023,NH1730,324,737,44,90,17:30:00,2018-12-08,2:35,economy,3A,151
1803,2060776,KL1600,3090,737,99,65,16:00:00,2012-12-07,2:09,economy,2I,120
3141,1141389,MF1815,5484,737,100,66,18:15:00,2018-10-21,2:43,economy,4D,160
3327,3680399,WY1300,3778,E75,66,51,13:00:00,2018-12-06,2:20,economy,6A,133
3564,8030886,KL2100,3090,330,46,15,21:00:00,2018-02-04,6:49,economy,6J,457
3736,5357161,ZH1915,4611,737,56,98,19:15:00,2018-09-23,1:17,economy,4H,56
19,4119351,TK1230,4951,738B738,28,100,12:30:00,2018-10-08,1:49,business,11D,495
14,7549035,FR1245,4296,738B738,93,102,12:45:00,2018-10-24,3:03,business,11I,585
15,7549035,W60915,5461,320A320,61,54,09:15:00,2018-10-30,1:24,business,29C,465
15,7549035,W61800,5461,320A320,76,28,18:00:00,2018-11-10,1:24,business,25H,465
16,7549035,U21030,2297,320A320,5,61,10:30:00,2018-11-24,1:19,business,12E,459
16,7549035,U22000,2297,319A319,85,30,20:00:00,2018-12-07,1:19,business,22I,459
17,4119351,ST1630,2547,321A321,18,21,16:30:00,2015-09-04,3:05,economy,8G,187
17,4119351,ST0645,2547,321A321,94,44,06:45:00,2015-09-26,3:05,economy,8H,187
18,4119351,TK2000,4951,320A320,86,88,20:00:00,2018-07-10,1:27,business,39J,468
18,4119351,TK2030,4951,738B738,11,46,20:30:00,2018-08-05,1:27,business,41A,468
19,4119351,TK0930,4951,738B738,55,56,09:30:00,2018-11-05,1:49,economy,9C,95
20,4119351,TK1400,4951,738B738,30,21,14:00:00,2018-12-01,1:20,business,16H,460
20,4119351,TK1715,4951,738B738,38,9,17:15:00,2018-12-28,1:20,business,32E,460
21,1297594,OS2230,491,321A321,31,84,22:30:00,2017-09-09,1:10,economy,4I,49
21,1297594,OS2245,491,319A319,88,71,22:45:00,2017-09-22,1:10,economy,2E,49
22,1297594,OS1800,491,320A320,61,101,18:00:00,2018-04-14,1:46,economy,5F,92
22,1297594,OS2115,491,320A320,77,70,21:15:00,2018-05-01,1:46,economy,1G,92
23,1297594,HG0830,3661,320A320,39,56,08:30:00,2018-05-10,1:20,economy,3G,60
23,1297594,HG1115,3661,320A320,90,73,11:15:00,2018-05-26,1:20,economy,10G,60
24,1297594,OS1715,491,320A320,41,28,17:15:00,2018-11-14,3:02,economy,10I,183
24,1297594,OS1045,491,320A320,33,27,10:45:00,2018-12-02,3:02,economy,10E,183
25,1297594,OS0715,491,320A320,3,84,07:15:00,2018-12-30,1:58,economy,2D,107
25,1297594,OS0745,491,320A320,40,78,07:45:00,2019-01-05,1:58,business,29D,507
26,9265259,AR1930,412,E90E190,61,1,19:30:00,2012-08-04,2:05,business,22F,515
26,9265259,AR1245,412,E90E190,75,104,12:45:00,2012-08-12,2:05,economy,4H,115
27,9265259,AR1800,412,E90E190,24,17,18:00:00,2018-10-07,1:02,economy,6F,39
27,9265259,AR1800,412,E90E190,75,32,18:00:00,2018-10-28,1:02,economy,2A,39
28,9265259,8R1845,5188,SF3SF34,56,98,18:45:00,2018-12-28,1:02,business,24E,438
28,9265259,8R2245,5188,SF3SF34,96,42,22:45:00,2019-01-14,1:02,business,14H,438
29,2531752,AT1800,4248,AT7AT72,26,63,18:00:00,2015-04-17,0:38,business,36E,409
29,2531752,AT0830,4248,AT7AT72,21,38,08:30:00,2015-05-12,0:38,economy,6C,9
30,2531752,AT2115,4248,738B738,83,28,21:15:00,2016-11-08,3:00,business,37G,582
30,2531752,AT0630,4248,738B738,52,71,06:30:00,2016-11-26,3:00,business,11H,582
31,2531752,FR0715,4296,738B738,81,38,07:15:00,2017-11-24,3:37,economy,4F,225
31,2531752,FR2215,4296,738B738,7,36,22:15:00,2017-12-10,3:37,business,14J,625
32,2531752,FR1015,4296,738B738,2,14,10:15:00,2018-07-03,2:33,economy,3B,149
32,2531752,FR1430,4296,738B738,93,83,14:30:00,2018-07-10,2:33,economy,3C,149
33,2531752,FR2130,4296,738B738,33,49,21:30:00,2018-08-03,2:52,economy,6C,172
33,2531752,FR1515,4296,738B738,98,51,15:15:00,2018-08-18,2:52,economy,7G,172
34,2531752,FR1215,4296,738B738,20,18,12:15:00,2018-12-15,3:29,economy,1D,216
34,2531752,FR2230,4296,738B738,13,18,22:30:00,2019-01-15,3:29,economy,5E,216
35,3185905,3O2230,9818,320A320,70,83,22:30:00,2015-09-11,2:08,economy,4J,119
35,3185905,3O2130,9818,320A320,97,53,21:30:00,2015-09-27,2:08,business,20G,519
36,2445019,KL1215,3090,330,64,96,12:15:00,2013-05-25,9:38,business,22A,1061
36,2445019,KL1215,3090,330,1,35,12:15:00,2013-05-30,9:38,business,17E,1061
37,2445019,VY2145,2439,320A320,59,38,21:45:00,2018-04-06,2:48,economy,2F,166
37,2445019,VY2230,2439,320A320,72,95,22:30:00,2018-05-01,2:48,business,39D,566
38,2445019,TS1300,1317,310A310,101,104,13:00:00,2018-09-08,7:57,economy,4B,539
38,2445019,TS1130,1317,310A310,87,51,11:30:00,2018-09-29,7:57,economy,1F,539
39,2445019,W61000,5461,320A320,20,96,10:00:00,2018-11-03,1:39,economy,9J,84
39,2445019,W61300,5461,320A320,89,85,13:00:00,2018-11-10,1:39,economy,7B,84
41,6719254,AV1545,515,AT7AT72,94,17,15:45:00,2018-10-06,0:54,business,11F,429
41,6719254,AV1045,515,AT7AT72,6,77,10:45:00,2018-10-12,0:54,business,44E,429
42,6719254,AV1215,515,AT7AT72,54,104,12:15:00,2018-10-29,0:57,business,40J,433
42,6719254,AV1415,515,318A318,19,26,14:15:00,2018-11-03,0:57,business,20I,433
43,6719254,LA1645,3200,320A320,66,30,16:45:00,2018-12-07,1:43,economy,8C,88
43,6719254,LA1230,3200,320A320,71,94,12:30:00,2018-12-26,1:43,business,37I,488
44,6719254,9R1100,4691,AT5AT45,104,81,11:00:00,2018-12-31,0:45,business,28A,418
44,6719254,9R1845,4691,AT5AT45,29,77,18:45:00,2019-01-10,0:45,economy,4H,18
45,5862299,LA2045,3200,319A319,49,57,20:45:00,2018-10-23,3:33,business,26D,621
45,5862299,LA1645,3200,763B763,75,11,16:45:00,2018-10-29,3:33,economy,6H,221
46,5862299,US1715,5265,763B763,67,52,17:15:00,2018-12-15,8:46,economy,3C,599
46,5862299,US1730,5265,763B763,82,43,17:30:00,2018-12-30,8:46,business,17F,999
47,8432369,W31515,20976,73GB737,73,69,15:15:00,2011-05-17,1:06,business,28J,444
47,8432369,W30630,20976,73GB737,56,46,06:30:00,2011-05-23,1:06,business,22E,444
48,9147185,UN0945,5067,738B738,76,7,09:45:00,2018-03-09,5:03,economy,6H,329
48,9147185,UN2145,5067,738B738,102,56,21:45:00,2018-03-25,5:03,business,13C,729
49,9147185,QU0930,2104,735B735,51,53,09:30:00,2018-11-04,1:52,economy,10E,99
49,9147185,QU1645,2104,735B735,27,69,16:45:00,2018-11-17,1:52,economy,6F,99
50,9147185,2B2230,410,CR2CRJ2,10,96,22:30:00,2018-12-18,1:41,economy,3B,85
50,9147185,2B1245,410,CR2CRJ2,71,3,12:45:00,2019-01-12,1:41,business,24G,485
51,4751486,AM1800,321,E70E170,37,90,18:00:00,2010-08-25,1:01,economy,1G,37
51,4751486,AM2045,321,E70E170,49,105,20:45:00,2010-09-07,1:01,economy,2G,37
52,2774932,AT1600,4248,738B738,47,54,16:00:00,2010-10-22,2:47,business,13C,565
52,2774932,AT2015,4248,738B738,79,6,20:15:00,2010-11-19,2:47,economy,7I,165
53,5289818,BG0645,1359,738B738,14,103,06:45:00,2010-08-28,2:16,business,27E,528
53,5289818,BG1200,1359,738B738,27,19,12:00:00,2010-09-26,2:16,economy,7A,128
54,8128034,MU1715,1758,319A319,23,86,17:15:00,2012-07-26,1:49,business,35E,495
54,8128034,MU1630,1758,319A319,79,13,16:30:00,2012-08-12,1:49,business,19D,495
55,8128034,ZH1815,4611,763B763,100,58,18:15:00,2015-09-26,4:09,business,23G,665
55,8128034,ZH1800,4611,763B763,17,30,18:00:00,2015-10-27,4:09,business,23H,665
56,8128034,VN1000,5309,330,99,31,10:00:00,2018-01-18,5:07,economy,7G,334
56,8128034,VN1430,5309,777,82,80,14:30:00,2018-01-30,5:07,economy,7D,334
57,8128034,JL1345,2987,E70E170,100,88,13:45:00,2018-06-27,1:30,business,37C,472
57,8128034,JL0745,2987,E70E170,92,13,07:45:00,2018-07-15,1:30,business,42D,472
58,8128034,NH0945,324,CR7CRJ7,103,89,09:45:00,2018-11-05,1:21,economy,10A,62
58,8128034,NH1845,324,CR7CRJ7,57,4,18:45:00,2018-11-27,1:21,economy,1G,62
59,9923572,FR2200,4296,738B738,4,72,22:00:00,2010-06-08,1:28,economy,2H,70
59,9923572,FR2045,4296,738B738,97,32,20:45:00,2010-07-03,1:28,economy,7C,70
60,9923572,XK1200,1909,320A320,45,37,12:00:00,2017-03-07,1:45,business,16D,490
60,9923572,XK1630,1909,320A320,40,74,16:30:00,2017-03-13,1:45,economy,1F,90
61,9923572,WY1915,3778,332A332,43,74,19:15:00,2018-12-20,7:26,economy,1D,502
61,9923572,WY1045,3778,332A332,5,60,10:45:00,2019-01-13,7:26,business,12C,902
62,2134022,UA0945,5209,320A320,95,86,09:45:00,2010-03-26,3:27,economy,3C,213
62,2134022,UA1515,5209,321A321,1,51,15:15:00,2010-04-22,3:27,economy,2B,213
63,2134022,OS0900,491,100F100,76,34,09:00:00,2013-01-17,2:40,business,25G,557
63,2134022,OS1915,491,100F100,38,54,19:15:00,2013-02-05,2:40,economy,6F,157
64,2134022,OS1000,491,F70F70,62,33,10:00:00,2018-08-22,2:21,business,36C,534
64,2134022,OS2245,491,F70F70,15,103,22:45:00,2018-09-14,2:21,economy,6J,134
65,2134022,U21300,2297,319A319,45,9,13:00:00,2018-09-29,2:03,economy,4D,112
65,2134022,U21230,2297,320A320,57,54,12:30:00,2018-10-19,2:03,economy,10J,112
66,2134022,HG1545,3661,320A320,21,31,15:45:00,2018-11-04,2:34,economy,8A,149
66,2134022,HG1830,3661,320A320,21,55,18:30:00,2018-11-26,2:34,economy,7C,149
67,2134022,OS2215,491,DH4DH8D,8,26,22:15:00,2018-12-16,1:10,economy,5F,49
67,2134022,OS0700,491,100F100,95,70,07:00:00,2019-01-03,1:10,economy,3C,49
